"","date","lender","borrower","amount_honoured"
"577",2017-08-01,"Caixa Econômica Federal","Rio de Janeiro",59249970.08
"578",2017-08-14,"Caixa Econômica Federal","Natal",2193466.89
"579",2017-08-25,"Caixa Econômica Federal","Roraima",2844270.01
"580",2017-08-25,"Caixa Econômica Federal","Rio de Janeiro",8193231.69
"581",2017-08-15,"Banco do Brasil S/A","Rio de Janeiro",9378703.82
"582",2017-08-15,"Caixa Econômica Federal","Rio de Janeiro",8549676.93
"583",2017-08-21,"Caixa Econômica Federal","Rio de Janeiro",2546208.44
"584",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25993554.08
"585",2017-08-15,"Caixa Econômica Federal","Roraima",2726144.86
"586",2017-08-21,"Caixa Econômica Federal","Rio de Janeiro",842184.87
"587",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3125076.74
"588",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29420716.17
"589",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5268803.45
"590",2017-07-28,"BID","Rio de Janeiro",19327458.3
"591",2017-07-25,"Caixa Econômica Federal","Rio de Janeiro",8366109.96
"592",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5452389.95
"593",2017-07-25,"Caixa Econômica Federal","Roraima",2800849.28
"594",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27010595.22
"595",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3223817.74
"596",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30859174.05
"597",2017-07-03,"Caixa Econômica Federal","Rio de Janeiro",62893137.93
"598",2017-07-19,"Caixa Econômica Federal","Rio de Janeiro",843882.35
"599",2017-07-19,"Caixa Econômica Federal","Rio de Janeiro",2550422.92
"600",2017-07-17,"Banco do Brasil S/A","Rio de Janeiro",9622913.49
"601",2017-07-17,"Caixa Econômica Federal","Rio de Janeiro",8433104.41
"602",2017-07-12,"Caixa Econômica Federal","Natal",2182025.26
"603",2017-07-17,"Caixa Econômica Federal","Roraima",2748528.38
"604",2017-06-15,"BID","Rio de Janeiro",4973446.95
"605",2017-06-15,"BID","Rio de Janeiro",14123738.73
"606",2017-06-01,"Caixa Econômica Federal","Rio de Janeiro",61917119.67
"607",2017-06-26,"Caixa Econômica Federal","Rio de Janeiro",8364477.43
"608",2017-06-12,"Caixa Econômica Federal","Natal",2194444.9
"609",2017-06-05,"Corporacão Andina de Fomento","Rio de Janeiro",33444042.74
"610",2017-06-26,"Caixa Econômica Federal","Roraima",2876086.84
"611",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27519265.12
"612",2017-06-16,"Caixa Econômica Federal","Roraima",2888772.6
